iso639_3,glottocode,name,l1_speakers,year,source_note
see,sene1264,Seneca,100,2007,wikidata P1098 (first-language qualified)
tae,tari1256,Tariana,100,1996,"wikidata P1098 (unqualified, assumed L1)"
tau,uppe1437,Upper Tanana,100,2007,"wikidata P1098 (unqualified, assumed L1)"
pre,prin1242,Principense,100,2023,"wikidata P1098 (unqualified, assumed L1)"
gni,goon1238,Gooniyandi,100,1991,"wikidata P1098 (unqualified, assumed L1)"
ukq,ukwa1238,Ukwa,100,2004,"wikidata P1098 (unqualified, assumed L1)"
sju,umes1235,Ume Saami,100,2023,"wikidata P1098 (unqualified, assumed L1)"
pby,pyuu1245,Pyu,100,2000,"wikidata P1098 (unqualified, assumed L1)"
kut,kute1249,Kutenai,100,2011,"wikidata P1098 (unqualified, assumed L1)"
ans,anse1238,Anserma,100,,"wikidata P1098 (unqualified, assumed L1)"
ynu,yahu1241,Yahuna,95,2007,"wikidata P1098 (unqualified, assumed L1)"
kim,kara1462,Taiga Sayan Turkic,93,,"wikidata P1098 (unqualified, assumed L1)"
dmw,mudb1240,Mudburra,92,2016,wikidata P1098 (first-language qualified)
jru,japr1238,Japrería,91,2001,"wikidata P1098 (unqualified, assumed L1)"
ite,iten1243,Itene,90,2007,"wikidata P1098 (unqualified, assumed L1)"
hei,heil1246,Heiltsuk-Oowekyala,90,2011,"wikidata P1098 (unqualified, assumed L1)"
kgs,kumb1268,Kumbainggar,90,2016,"wikidata P1098 (unqualified, assumed L1)"
itl,itel1242,West Itelmen,82,2010,"wikidata P1098 (unqualified, assumed L1)"
isc,isco1239,Isconahua,82,2000,"wikidata P1098 (unqualified, assumed L1)"
aro,arao1248,Araona,81,,"wikidata P1098 (unqualified, assumed L1)"
aht,ahte1237,Ahtena,80,,"wikidata P1098 (unqualified, assumed L1)"
kdr,kara1464,Karaim,80,2014,"wikidata P1098 (unqualified, assumed L1)"
cic,chic1270,Chickasaw,75,2017,wikidata P1098 (first-language qualified)
tfn,tana1289,Dena'ina,75,2007,"wikidata P1098 (unqualified, assumed L1)"
psd,plai1235,Plains Indian Sign Language,75,2015,"wikidata P1098 (unqualified, assumed L1)"
neg,negi1245,Negidal,74,2010,"wikidata P1098 (unqualified, assumed L1)"
ehs,miya1268,Miyakubo Sign Language,70,2020,"wikidata P1098 (unqualified, assumed L1)"
wym,wymy1235,Wymysorys,70,,"wikidata P1098 (unqualified, assumed L1)"
auq,anus1237,Korur,70,2000,"wikidata P1098 (unqualified, assumed L1)"
ore,orej1242,Maijiki,70,2018,"wikidata P1098 (unqualified, assumed L1)"
ckv,kava1241,Kavalan,70,2015,wikidata P1098 (first-language qualified)
oak,,,70,,"wikidata P1098 (unqualified, assumed L1)"
vot,voti1245,Votic,62,2010,"wikidata P1098 (unqualified, assumed L1)"
lsv,sivi1235,Sivia Sign Language,62,,"wikidata P1098 (unqualified, assumed L1)"
cuj,mash1270,Mashco Piro,60,1976,"wikidata P1098 (unqualified, assumed L1)"
gge,gura1252,Guragone,60,2011,"wikidata P1098 (unqualified, assumed L1)"
nck,naka1260,Nakara,58,2016,"wikidata P1098 (unqualified, assumed L1)"
cay,cayu1261,Cayuga,55,2016,wikidata P1098 (first-language qualified)
one,onei1249,Oneida,55,2016,wikidata P1098 (first-language qualified)
xwa,kwaz1243,Kwaza,54,2004,"wikidata P1098 (unqualified, assumed L1)"
yii,yidi1250,Yidiñ,52,2021,wikidata P1098 (first-language qualified)
aac,arii1243,Ari,50,2000,"wikidata P1098 (unqualified, assumed L1)"
mzs,maca1262,Macanese,50,2007,wikidata P1098 (first-language qualified)
sje,pite1240,Pite Saami,50,,"wikidata P1098 (unqualified, assumed L1)"
sgu,sala1269,Salas,50,1989,"wikidata P1098 (unqualified, assumed L1)"
teu,sooo1256,Soo,50,2007,"wikidata P1098 (unqualified, assumed L1)"
ile,inte1260,Interlingue (Occidental),50,2019,"wikidata P1098 (unqualified, assumed L1)"
