level,seg,segment_class,n_languages,pct_languages,pct_l1_weighted,pct_total_weighted,l1_with,total_with,top_allophones,merged_strict_variants,n_wold_recipients,in_wold
lumped,d̤,consonant,37,0.017,0.17992,0.16113,1107305300,1666275426,d(2) nd̤(1),d̪̤ d̪̤ʱ d̪̤ː d̻̤ʱ,0,False
lumped,iu,vowel,28,0.01286,0.17827,0.15025,1097144060,1553766630,,iu̯ iːŭ i̯u i̯uː,1,True
lumped,ɖ̤,consonant,26,0.01194,0.17577,0.15801,1081810000,1634039444,ɽ̤(2) ɳɖ̤(1) ɖ(1),ɖ̤ʱ ɖ̤ː,0,False
lumped,ei,vowel,47,0.02159,0.17314,0.15122,1065603340,1563867208,ɛi(1) e(1),ei̯ eːi̯ e̞i,1,True
lumped,ou,vowel,34,0.01562,0.17045,0.14762,1049029830,1526545818,ɔʊ(1),ou̯ oːu oːu̯ o̞u,1,True
lumped,ia,vowel,51,0.02343,0.17006,0.14073,1046623742,1455329977,iɑ(2),iaː ia̟ iɐ iɑ i̞ä i̯a i̯aː i̯ɑ,1,True
lumped,uə,vowel,25,0.01148,0.16902,0.14166,1040262482,1464910860,,uə̯ uːə u̯ə,2,True
lumped,θ,consonant,83,0.03813,0.16841,0.28925,1036474005,2991273039,ð(5) t(3) θ̬(2) tθ(1) nθ(1) w(1) j(1) f(1),θː θ̪ θ̻,3,True
lumped,ʐ,consonant,64,0.0294,0.16586,0.13984,1020805215,1446122005,ʐˀ(1) ʂ(1) ʐd(1) ʐʰ(1),ʐ̻ ʱʐ,2,True
lumped,ɕ,consonant,81,0.03721,0.16471,0.13848,1013683902,1432090460,s(2) ʒ(1) sʲ(1) ʃ(1),ɕʰ ɕː ɕ̟ ɕ̟ː,3,True
lumped,ie,vowel,33,0.01516,0.16264,0.13474,1000996313,1393354534,e(2) iɛ(1),ieː ie̞ iːe i̞e̞ i̯e i̯e̞,2,True
lumped,ɥ,consonant,35,0.01608,0.16256,0.16111,1000480000,1666126911,y(2) ʝʷ(1) ɥ̥(1),,1,True
lumped,ʊ̃,vowel,65,0.02986,0.16251,0.15404,1000143100,1593008052,ɯ̃(1),ʊ̃ː,0,False
lumped,ua,vowel,47,0.02159,0.16056,0.13523,988153713,1398454409,ɣua(1) ʊɛ(1) ʊa(1),uaː uä ua̟ uɐ uɑ uːa u̯a u̯aː u̯ɑ,2,True
lumped,iau,vowel,6,0.00276,0.157,0.13172,966258500,1362142837,,iäu̽ iɑu i̯au i̯au̯,1,True
lumped,ʈʂ,consonant,76,0.03491,0.15695,0.13382,965937172,1383865262,ʈʂʰ(10) ʈ(2) ɖʐ(1) ts(1),ʈʂʰ ʈʂː ʈ̻ʂ̻ ʰʈʂʰ,2,True
lumped,ɪ̃,vowel,72,0.03307,0.15543,0.14933,956584130,1544242811,,ɪ̃ː,0,False
lumped,ʎ,consonant,93,0.04272,0.15161,0.09587,933103315,991474571,l̥ʲ(2) ʎ̥(1) ʎʱ(1) l(1) j(1) ʝ(1) lʲ(1),ʎʱ ʎː ʎ̟ ʎ̻ ʎ̻̟,1,True
lumped,uo,vowel,13,0.00597,0.15117,0.12831,930350200,1326902125,,uoː uo̞ u̯o u̯oː,1,True
lumped,uai,vowel,5,0.0023,0.15084,0.1281,928328500,1324717501,,uɑi u̯ai u̯ai̯,1,True
lumped,ə˞,vowel,6,0.00276,0.14921,0.12813,918344100,1324992608,,ə˞ː,1,True
lumped,uei,vowel,3,0.00138,0.14916,0.12829,918038500,1326699211,,uei̯ u̯ei̯,1,True
